,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_FT2,Pfok_T42-1
Pmult_ChP5-3,0.0,0.0005907319,0.0005882994000000001,0.0029552671,0.001771796,0.0089102757,0.00839585,0.008656761899999999,0.0143686721,0.015044086399999998,0.0149809914,0.0147211578,0.0301804858,0.0319299725,0.0319299725,0.032067731099999996,0.0345177097,0.0314660055,0.0345243742,0.050961033899999994,0.0523509651,0.0498237691,0.0498237691,0.0508486102,0.056784175,0.061814385599999994,0.0618000208,0.0615233062,0.0615233062,0.059032597199999995,0.0621417529,0.0707522066,0.0773977746,0.06367412,0.075991263,0.0696001962,0.0695261838,0.08987942,0.09144044650000001,0.0,0.0,0.0011760609,0.007723806,0.0149809914
Pmult_strain4,0.0005907319,0.0,0.001182919,0.0029632288,0.0017765656,0.0095557839,0.0090067434,0.009539538299999999,0.015049030900000001,0.0156653068,0.0156653068,0.015353983799999998,0.0308352022,0.032725604,0.032725604,0.032725604,0.0353308069,0.0321234328,0.035337654100000004,0.0518842433,0.053057548899999994,0.050742685,0.050742685,0.051559130300000006,0.055591921399999994,0.06138905,0.062524339,0.062524339,0.062524339,0.0600204473,0.0631892547,0.0718294489,0.0781616493,0.064691055,0.07709911480000001,0.0703487235,0.0702670059,0.09110552970000001,0.09267870619999999,0.0005907319,0.0005907319,0.001773563,0.0083630222,0.0156653068
Pmult_SK6-3,0.0005882994000000001,0.001182919,0.0,0.0035506843,0.0023653007999999997,0.0095160049,0.0090067434,0.009539538299999999,0.014985894599999999,0.0156653068,0.015599525900000001,0.015353983799999998,0.0308352022,0.0325848464,0.0325848464,0.032725604,0.0351782757,0.0321234328,0.035185066200000004,0.0502680492,0.053057548899999994,0.050518688,0.050518688,0.051559130300000006,0.0574958215,0.0625388129,0.062524339,0.0622440351,0.0622440351,0.058980192300000005,0.0613915349,0.0715004813,0.0781616493,0.06440005160000001,0.075238325,0.0703487235,0.0702670059,0.08987942,0.09144044650000001,0.0005882994000000001,0.0005882994000000001,0.0017662541000000001,0.0083282011,0.015599525900000001
Pmult_ThK-16,0.0029552671,0.0029632288,0.0035506843,0.0,0.0011781391,0.0095460988,0.007190854799999999,0.006917655500000001,0.0174660253,0.017508196200000003,0.0180848041,0.0159605624,0.0327521738,0.032690637599999996,0.032690637599999996,0.0321234328,0.0352928333,0.034046271600000004,0.0352996661,0.051826587699999996,0.0510335379,0.050686215199999995,0.050686215199999995,0.0495215101,0.056311550999999994,0.060616456900000004,0.0625800898,0.063121987,0.063121987,0.0612900759,0.0645102212,0.07243255629999999,0.0796228861,0.06596173309999999,0.0783877764,0.0696001962,0.0710097044,0.0909938113,0.09256468550000001,0.0029552671,0.0029552671,0.001771796,0.0083545532,0.0180848041
Pmult_OmN-1,0.001771796,0.0017765656,0.0023653007999999997,0.0011781391,0.0,0.0107476558,0.00839585,0.008656761899999999,0.0162488623,0.0162880644,0.016866060500000002,0.0147211578,0.031491550099999994,0.0339507967,0.0339507967,0.033385115800000004,0.0365598105,0.0327824991,0.0365668744,0.0531326421,0.0523509651,0.051994432699999996,0.051994432699999996,0.0508486102,0.057637087000000004,0.0619555188,0.063250486,0.063791489,0.063791489,0.0612900759,0.0645102212,0.07312051950000001,0.0789274742,0.06596173309999999,0.0783877764,0.0696001962,0.0710097044,0.09242778800000001,0.0940031549,0.001771796,0.001771796,0.0029552671,0.009555438199999999,0.016866060500000002
Pmult_FT5,0.0089102757,0.0095557839,0.0095160049,0.0095460988,0.0107476558,0.0,0.012672273500000001,0.0157464248,0.023607085299999997,0.0243376969,0.0242345124,0.024192670099999997,0.039861425299999996,0.039055313,0.039055313,0.0392253932,0.040348123199999995,0.0411776967,0.0403558675,0.0570266193,0.0592344414,0.0573122013,0.0573122013,0.058502291100000006,0.06442557559999999,0.0695734915,0.0702362957,0.06991875040000001,0.06991875040000001,0.0680884083,0.070837787,0.0779536499,0.0876292041,0.0713648317,0.08392931220000001,0.0767391807,0.07734697,0.0967438583,0.096708221,0.0089102757,0.0089102757,0.0077162953,0.0131619789,0.0242345124
Pmult_BR3,0.00839585,0.0090067434,0.0090067434,0.007190854799999999,0.00839585,0.012672273500000001,0.0,0.0130861727,0.022605961600000002,0.0232383428,0.0232383428,0.0229850125,0.036875054,0.0362378243,0.0362378243,0.0362378243,0.0375370989,0.038190816,0.0375444052,0.054291342199999995,0.0560016033,0.0545658465,0.0545658465,0.0552384767,0.0566404493,0.0651993224,0.0672304937,0.0672304937,0.0672304937,0.0666219012,0.0678779127,0.0780134212,0.0828901603,0.0713634241,0.0826432952,0.074744287,0.0756665788,0.0964371908,0.09640127710000002,0.00839585,0.00839585,0.007190854799999999,0.0126848121,0.0232383428
Pmult_BNB-2015,0.008656761899999999,0.009539538299999999,0.009539538299999999,0.006917655500000001,0.008656761899999999,0.0157464248,0.0130861727,0.0,0.0284412202,0.0284412202,0.0284412202,0.0284412202,0.041818744,0.0408896956,0.0408896956,0.041822207,0.0418429416,0.0436904246,0.0428434692,0.0616058455,0.0702285714,0.0660073908,0.0660073908,0.0660073908,0.0660073908,0.0660073908,0.0838512003,0.0838512003,0.0838512003,0.0745843063,0.07293717599999999,0.0883183001,0.0965742209,0.0814501208,0.0932855743,0.0888858124,0.08515482140000001,0.1018633008,0.10307438669999999,0.008656761899999999,0.008656761899999999,0.006917655500000001,0.0157810831,0.0284412202
Pfok_US_Bl_16I1,0.0143686721,0.015049030900000001,0.014985894599999999,0.0174660253,0.0162488623,0.023607085299999997,0.022605961600000002,0.0284412202,0.0,0.0017729905999999999,0.0017656864000000002,0.0,0.0269905556,0.0281351283,0.0281351283,0.027006392599999998,0.030698508,0.0264051438,0.0300627389,0.0489969348,0.056424893899999995,0.053837747400000004,0.053837747400000004,0.0549498602,0.060874146100000005,0.0659630823,0.0652754791,0.06498209099999999,0.06498209099999999,0.0583677763,0.060062915999999994,0.0708917634,0.0798691901,0.0657739824,0.0736721186,0.0765583313,0.06833116389999999,0.09426977269999999,0.0958460413,0.0143686721,0.0143686721,0.0155781077,0.022401273399999998,0.0017656864000000002
Pfok_strain14,0.015044086399999998,0.0156653068,0.0156653068,0.017508196200000003,0.0162880644,0.0243376969,0.0232383428,0.0284412202,0.0017729905999999999,0.0,0.0,0.0018082546,0.025743578,0.027006392599999998,0.027006392599999998,0.027006392599999998,0.029574529199999998,0.0264051438,0.028937335699999997,0.0485629188,0.056424893899999995,0.0540771633,0.0540771633,0.0549498602,0.058965414,0.0655277583,0.06393174389999999,0.06393174389999999,0.06393174389999999,0.059966887,0.061736283899999994,0.07259570559999999,0.0784745967,0.0647243081,0.0733245473,0.075136383,0.06833116389999999,0.09322598630000001,0.0948052766,0.015044086399999998,0.015044086399999998,0.016260240800000002,0.0231258154,0.0
